id,name,aka,build_engineer_weeks,buy_weeks,platforms,questions,calendar_note,url
sso,SSO,Single sign-on with SAML and OIDC,3-5,1-2,WorkOS; Auth0; Stytch,7,,https://toupper.vercel.app/what/sso?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
scim,SCIM,System for Cross-domain Identity Management,3-6,1-2,WorkOS; Stytch; Merge,6,,https://toupper.vercel.app/what/scim?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
rbac,RBAC,Role-based access control,4-8,2-4,Oso; Permit.io; Cerbos,6,,https://toupper.vercel.app/what/rbac?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
multi-tenancy,Org hierarchy,"Multi-tenancy, workspaces and parent-child accounts",6-12,,,6,,https://toupper.vercel.app/what/multi-tenancy?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
soc2,SOC 2,SOC 2 Type II audit report,6-12,3-6,Vanta; Drata; Secureframe,6,"Plan for six to nine months end to end. The Type II observation window is the long pole, not the engineering.",https://toupper.vercel.app/what/soc2?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
iso27001,ISO 27001,International information security certification,8-14,4-8,Vanta; Drata; Secureframe,6,"Typically four to nine months to certification, depending on how much already exists.",https://toupper.vercel.app/what/iso27001?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
audit-logs,Audit logs,A customer-facing audit trail,3-6,1-3,WorkOS Audit Logs; Pangea; Frontegg,6,,https://toupper.vercel.app/what/audit-logs?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
security-questionnaire,Security questionnaire,The vendor security review,2-4,1-2,Conveyor; Loopio; Vanta,6,,https://toupper.vercel.app/what/security-questionnaire?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
gdpr-residency,Data residency,"GDPR, DPAs and keeping data in-region",4-8,,,6,,https://toupper.vercel.app/what/gdpr-residency?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
hipaa,HIPAA,US health data compliance,6-12,3-6,Aptible; Vanta; Drata,6,Usually three to six months before you can sign a BAA with confidence.,https://toupper.vercel.app/what/hipaa?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
byok,BYOK,"Bring your own key, or customer-managed encryption keys",6-12,3-6,AWS KMS; Google Cloud KMS; Azure Key Vault,6,,https://toupper.vercel.app/what/byok?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
pentest,Penetration test,Independent security testing,2-4,,,6,"Book two to six weeks ahead. The test itself takes one to three weeks, and fixing findings takes as long as it takes.",https://toupper.vercel.app/what/pentest?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
usage-billing,Usage-based billing,Metered and consumption pricing,8-14,3-6,Metronome; Orb; Lago,6,,https://toupper.vercel.app/what/usage-billing?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
enterprise-invoicing,Enterprise invoicing,"Contracts, purchase orders and net terms",6-10,2-4,Stripe Billing; Chargebee; Maxio,6,,https://toupper.vercel.app/what/enterprise-invoicing?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
entitlements,Entitlements,"Plans, tiers and feature access",3-6,1-3,Stigg; Schematic; LaunchDarkly,6,,https://toupper.vercel.app/what/entitlements?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
single-tenant,Single-tenant deployment,"Dedicated, VPC, bring-your-own-cloud and on-prem",8-16,4-8,Distr; Omnistrate; Northflank,6,,https://toupper.vercel.app/what/single-tenant?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
admin-console,Admin console,Self-service enterprise administration,4-8,,,6,,https://toupper.vercel.app/what/admin-console?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
public-api,Public API,"API, webhooks and integrations",6-12,4-8,Speakeasy; Stainless; Svix,6,,https://toupper.vercel.app/what/public-api?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
data-export,Data export,"Reporting, analytics and warehouse sync",4-8,2-4,Prequel; Bobsled; Snowflake,6,,https://toupper.vercel.app/what/data-export?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
sla,SLA,Service level agreement: uptime and support commitments,3-6,1-3,Better Stack; incident.io; Statuspage,6,,https://toupper.vercel.app/what/sla?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
enterprise-onboarding,Enterprise onboarding,"Implementation, migration and rollout",4-8,,,6,,https://toupper.vercel.app/what/enterprise-onboarding?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
rag,RAG,Retrieval-augmented generation,6-12,3-6,Pinecone; Vectara; LlamaIndex,6,,https://toupper.vercel.app/what/rag?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
evals,Evals,Evaluations for AI features,4-8,2-4,Braintrust; LangSmith; Arize,6,,https://toupper.vercel.app/what/evals?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
guardrails,AI guardrails,Prompt injection defences and output controls,4-8,2-4,Lakera; Guardrails AI; NVIDIA NeMo Guardrails,6,,https://toupper.vercel.app/what/guardrails?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
llm-observability,LLM observability,"Tracing, cost and quality monitoring for AI features",3-6,1-2,Langfuse; Helicone; Datadog,6,,https://toupper.vercel.app/what/llm-observability?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
ai-data-controls,AI data controls,"What the model sees, keeps and learns from",3-6,,,6,,https://toupper.vercel.app/what/ai-data-controls?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
ai-governance,AI governance,"ISO 42001, the EU AI Act and responsible AI reviews",6-12,3-6,Credo AI; Holistic AI; Vanta,6,Plan for four to nine months to ISO 42001 certification if you already run a security programme.,https://toupper.vercel.app/what/ai-governance?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
agent-permissions,Agent permissions,Letting AI agents act safely on a user's behalf,5-10,2-4,Arcade; Oso; Permit.io,6,,https://toupper.vercel.app/what/agent-permissions?utm_source=github&utm_medium=dataset&utm_campaign=h11_dataset
